DEBUG: at 2020-08-09 13:21:39,505: digraph {

DEBUG: at 2020-08-09 13:21:50,227: digraph {

INFO: at 2020-08-09 13:43:23,622: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 13:44:00,154: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 13:44:35,466: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 18:52:18,654: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 19:48:26,332: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:07:59,184: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:11:23,156: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:37:43,056: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:38:22,028: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:39:47,200: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:42:38,797: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:43:03,446: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:43:14,346: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 20:43:22,390: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:02:44,420: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:02:47,456: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:02:53,928: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:02:56,568: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:02:58,905: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:03:06,217: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:03:08,412: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:03:09,481: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:03:10,337: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:03:11,239: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:03:12,127: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:03:13,031: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:06:28,931: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:06:30,524: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:06:31,505: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:07:09,846: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:07:38,177: GraphViz dot file: circuit.dot generated
INFO: at 2020-08-09 21:07:41,675: GraphViz dot file: circuit.dot generated
